count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,spread_p90_p10,stable,unstable_rev2,speedup_vs_c,speedup_low,speedup_high,speedup_ci_low,speedup_ci_high,verdict,boundary_inversion,direction_supported,magnitude_supported,claim_supported_rev2
33554432,4,cuda,resident,passed,393,30,24,2.550100,0.017425,2.533800,2.556750,1.0091,1.0040,true,false,296.1401,295.0299,298.5135,295.9127,296.3829,faster,false,true,true,true
33554432,4,cuda,resident-graph,passed,414,30,24,2.425350,0.003900,2.423750,2.427700,1.0016,1.0006,true,false,311.3723,310.7129,312.0675,311.1365,311.5304,faster,false,true,true,true
33554432,4,cuda,host-origin,passed,42,30,24,24.340550,0.105125,24.242900,24.436500,1.0080,1.0056,true,false,31.0259,30.8685,31.1998,31.0050,31.0625,faster,false,true,true,true
33554432,8,cpu,comparator,passed,10,30,24,758.760300,2.782475,757.168200,760.466000,1.0044,1.0024,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
33554432,8,cuda,resident,passed,377,30,24,2.672800,0.023050,2.649900,2.680250,1.0115,1.0053,true,false,283.8822,282.4991,286.9791,283.5594,284.3443,faster,false,true,true,true
33554432,8,cuda,resident-graph,passed,395,30,24,2.547700,0.006625,2.541600,2.551000,1.0037,1.0029,true,false,297.8217,296.8123,299.2076,297.6024,298.2761,faster,false,true,true,true
33554432,8,cuda,host-origin,passed,38,30,24,26.805800,0.064200,26.732750,26.864750,1.0049,1.0020,true,false,28.3058,28.1844,28.4470,28.2883,28.3224,faster,false,true,true,true
67108864,4,cpu,comparator,passed,10,30,24,1506.746250,3.069075,1505.271300,1508.465750,1.0021,1.0017,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
67108864,4,cuda,resident,passed,206,30,24,4.879650,0.036275,4.858250,4.889650,1.0065,1.0041,true,false,308.7816,307.8485,310.4957,308.5764,309.1513,faster,false,true,true,true
67108864,4,cuda,resident-graph,passed,212,30,24,4.751200,0.013125,4.734250,4.759600,1.0054,1.0033,true,false,317.1296,316.2600,318.6282,317.0144,317.3199,faster,false,true,true,true
67108864,4,cuda,host-origin,passed,21,30,24,48.178350,0.121525,48.112750,48.225900,1.0024,1.0017,true,false,31.2743,31.2129,31.3527,31.2659,31.2901,faster,false,true,true,true
67108864,8,cpu,comparator,passed,10,30,24,1512.906000,3.220275,1510.912450,1514.596250,1.0024,1.0013,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
67108864,8,cuda,resident,passed,196,30,24,5.136150,0.142250,5.113950,5.144950,1.0061,1.0052,true,false,294.5603,293.6690,296.1695,294.4406,294.6348,faster,false,true,true,true
67108864,8,cuda,resident-graph,passed,201,30,24,5.003300,0.009600,4.989900,5.010500,1.0041,1.0023,true,false,302.3816,301.5492,303.5324,302.2892,302.5070,faster,false,true,true,true
67108864,8,cuda,host-origin,passed,19,30,24,53.144600,0.168375,53.079250,53.273000,1.0037,1.0016,true,false,28.4677,28.3617,28.5346,28.4594,28.4887,faster,false,true,true,true
